,nfe,epsilon_progress,SBX,PCX,DifferentialEvolution,UNDX,SPX,UM
0,1005,17,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.18181818181818182,0.09090909090909091
1,2011,19,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.36363636363636365,0.09090909090909091,0.09090909090909091
2,3017,20,0.25,0.08333333333333333,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.08333333333333333
3,4022,24,0.35714285714285715,0.07142857142857142,0.07142857142857142,0.35714285714285715,0.07142857142857142,0.07142857142857142
4,5026,28,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.07142857142857142,0.07142857142857142
5,5026,28,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.07142857142857142,0.07142857142857142
