,nfe,epsilon_progress,SBX,PCX,DifferentialEvolution,UNDX,SPX,UM
0,1004,23,0.15384615384615385,0.23076923076923078,0.07692307692307693,0.23076923076923078,0.23076923076923078,0.07692307692307693
1,2009,25,0.15384615384615385,0.23076923076923078,0.15384615384615385,0.23076923076923078,0.15384615384615385,0.07692307692307693
2,3014,26,0.15384615384615385,0.3076923076923077,0.07692307692307693,0.23076923076923078,0.15384615384615385,0.07692307692307693
3,4016,27,0.14285714285714285,0.35714285714285715,0.07142857142857142,0.21428571428571427,0.14285714285714285,0.07142857142857142
4,5020,27,0.14285714285714285,0.35714285714285715,0.14285714285714285,0.21428571428571427,0.07142857142857142,0.07142857142857142
5,5020,27,0.14285714285714285,0.35714285714285715,0.14285714285714285,0.21428571428571427,0.07142857142857142,0.07142857142857142
