,nfe,epsilon_progress,SBX,PCX,DifferentialEvolution,UNDX,SPX,UM
0,1003,20,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.09090909090909091
1,2004,21,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.09090909090909091
2,3006,21,0.25,0.16666666666666666,0.16666666666666666,0.25,0.08333333333333333,0.08333333333333333
3,4007,23,0.1,0.2,0.2,0.3,0.1,0.1
4,5012,23,0.09090909090909091,0.2727272727272727,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.09090909090909091
5,5012,23,0.09090909090909091,0.2727272727272727,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.09090909090909091
