,nfe,epsilon_progress,SBX,PCX,DifferentialEvolution,UNDX,SPX,UM
0,1005,31,0.23076923076923078,0.07692307692307693,0.23076923076923078,0.3076923076923077,0.07692307692307693,0.07692307692307693
1,2008,35,0.21428571428571427,0.07142857142857142,0.2857142857142857,0.2857142857142857,0.07142857142857142,0.07142857142857142
2,3010,36,0.1875,0.125,0.1875,0.375,0.0625,0.0625
3,4016,36,0.1875,0.125,0.1875,0.375,0.0625,0.0625
4,5021,37,0.1875,0.125,0.1875,0.375,0.0625,0.0625
5,5021,37,0.1875,0.125,0.1875,0.375,0.0625,0.0625
